combination,R2,MSE
"['BattingAvg', 'Doubles', 'RBI']",0.4138149992879967,882690.8569649918
"['BattingAvg', 'Doubles', 'Walks']",0.35959365854744235,973393.8754061575
"['BattingAvg', 'Doubles', 'Strikeouts']",0.29950705949255657,1051475.5960143157
"['BattingAvg', 'Doubles', 'StolenBases']",0.3051516154318731,1041978.172267225
"['BattingAvg', 'Triples', 'HomeRuns']",0.36464417303234253,960582.7511683081
"['BattingAvg', 'Triples', 'RBI']",0.4208876059769481,872195.3781700016
"['BattingAvg', 'Triples', 'Walks']",0.3262043927373159,1036774.7367370283
"['BattingAvg', 'Triples', 'Strikeouts']",0.20263477163088459,1212099.1852069455
"['BattingAvg', 'Triples', 'StolenBases']",0.09057438081969346,1383268.7111378997
"['BattingAvg', 'HomeRuns', 'RBI']",0.4187857443037569,875328.1174977958
"['BattingAvg', 'HomeRuns', 'Walks']",0.4048669550141445,910379.7440295601
"['BattingAvg', 'HomeRuns', 'Strikeouts']",0.3511964330948928,984440.0174734049
"['BattingAvg', 'HomeRuns', 'StolenBases']",0.38560827777404816,934778.1063226936
"['BattingAvg', 'RBI', 'Walks']",0.43436934946584016,857661.1155352512
"['BattingAvg', 'RBI', 'Strikeouts']",0.44199192775513063,839209.8883716774
"['BattingAvg', 'RBI', 'StolenBases']",0.4378582170710927,847878.7576271786
"['BattingAvg', 'Walks', 'Strikeouts']",0.32726203927993225,1035190.3767661869
"['BattingAvg', 'Walks', 'StolenBases']",0.3267074695408042,1037375.9485183081
"['BattingAvg', 'Strikeouts', 'StolenBases']",0.21808164379178283,1190865.3037039232
"['OnBasePct', 'Runs', 'Hits']",0.3896248593664752,931837.5749459959
"['OnBasePct', 'Runs', 'Doubles']",0.3849124044929323,937105.8553259835
"['OnBasePct', 'Runs', 'Triples']",0.4196515752129155,890970.3293301727
"['OnBasePct', 'Runs', 'HomeRuns']",0.44401476827288294,848645.1481606126
"['OnBasePct', 'Runs', 'RBI']",0.4472774187351036,837170.990134807
