variable,coefficients
BattingAvg,-287.7791677937825
OnBasePct,189.90626040594805
Hits,682.6290361557953
HomeRuns,676.938274333974
Strikeouts,-497.12525450964955
StolenBases,120.3221501487162
Intercept,1248.5281899109793
